Unidade Orçamentária ,GRUPO DE DESPESA,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Dotação atualizada 2020*
Fundo Serviço Militar,Investimentos,1.1,1.1,1.0,1.0,1.5,0.7,1.0,0.7,0.9,0.9,1.0,1.0,1.1,1.3,1.6,0.8,1.0,0.8,0.8,2.2,1.7
Fundo Aeronáutico,Outras Despesas Correntes,330.8,397.0,408.8,442.4,638.5,629.0,726.4,671.8,625.0,847.4,974.8,993.4,1049.5,1319.6,1594.9,1466.1,1488.5,1906.0,2067.0,2332.1,2522.6
Fundo Aeronáutico,Investimentos,602.9,375.6,378.6,243.3,360.9,373.8,471.5,582.7,825.7,695.4,1008.4,820.9,552.6,646.6,801.7,730.9,880.3,893.1,929.6,767.0,608.5
Fundo Aeronáutico,Inversões Financeiras,0.0,0.0,0.0,0.7,0.0,1.1,1.5,2.2,3.0,2.9,2.7,3.6,3.7,2.9,3.5,5.3,3.2,5.0,5.0,4.8,4.5
Fundo do Exército,Outras Despesas Correntes,223.8,238.2,307.0,296.5,360.7,416.7,503.5,524.5,612.9,733.7,763.9,824.7,904.0,934.6,992.4,1158.1,1051.5,1188.3,1568.7,2577.4,2189.7
Fundo do Exército,Investimentos,33.8,46.6,40.6,26.2,65.3,45.6,42.4,48.8,48.9,51.1,63.2,99.9,138.5,145.6,128.7,82.0,51.9,111.7,162.3,154.6,115.6
Fundo do Exército,Inversões Financeiras,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fundo Naval,Outras Despesas Correntes,356.3,415.6,266.2,202.0,320.5,280.9,326.8,321.3,246.8,291.8,306.1,255.7,354.8,458.2,451.6,514.0,693.5,738.6,458.8,1143.2,1039.5
Fundo Naval,Investimentos,91.0,126.5,22.9,24.2,49.0,28.4,23.5,132.7,62.4,57.3,83.7,48.7,64.9,48.7,71.0,93.5,39.3,46.9,176.3,134.2,72.6
Fundo Naval,Inversões Financeiras,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.8,,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fundo de Desenvolvimento do Ensino Profissional Marítimo,Outras Despesas Correntes,24.8,31.2,20.3,22.3,36.7,43.2,52.0,71.7,67.3,76.0,83.4,74.5,109.4,80.4,138.4,94.4,77.1,75.1,59.1,62.0,67.6
Fundo de Desenvolvimento do Ensino Profissional Marítimo,Investimentos,2.5,2.2,1.9,1.3,3.0,4.8,3.2,6.4,4.0,4.9,12.6,6.6,14.6,5.0,1.8,1.0,1.3,1.2,1.0,1.3,2.2
